timestamp,rrInterval,areaUp,areaDown,motion
1693556731520,1510,14745,20871,56
1693556732150,630,4685,775,40
1693556733810,1660,3358,34017,116
1693556735390,1580,39460,2157,116
1693556735920,530,453,2645,20
1693556739470,1380,7194,3594,80
1693556740650,1180,2811,7219,54
1693556741870,1220,16944,12171,82
1693556742480,610,7122,910,60
1693556743320,840,892,12143,16
1693556744400,1080,15390,7760,102
1693556745720,1320,20403,2386,72
1693556746360,640,553,2506,26
1693556748170,1810,6936,13399,116
1693556748830,660,2112,7509,54
1693556749490,660,4116,6592,216
1693556749890,400,406,2061,74
1693556750530,640,4730,2560,94
1693556751640,1110,3091,10161,78
1693556752390,750,8992,1807,120
1693556753620,1230,3637,4590,114
1693556754250,630,1725,2572,30
1693556754870,620,949,5165,20
1693556756670,1800,8686,12666,106
1693556757290,620,722,2814,150
1693556757630,340,548,1075,64
1693556758250,620,1254,5332,164
1693556758630,380,73,5976,172
1693556759240,610,2087,4466,192
1693556759850,610,496,1507,142
1693556760340,490,138,2546,150
1693556760880,540,663,1919,174
1693556761470,590,2700,2572,174
1693556761960,490,388,2071,92
1693556762570,610,1166,2962,60
1693556763180,610,2115,2158,64
1693556763990,810,6300,24184,906
1693556764600,610,1219,9198,136
1693556765210,610,5985,3213,406
1693556765620,410,639,3887,228
1693556766230,610,2645,3157,386
1693556766840,610,2392,2856,52
1693556767450,610,1006,1451,92
1693556776270,980,19450,12921,138
1693556776870,600,4885,514,174
1693556777470,600,486,931,36
1693556778070,600,290,1264,46
1693556778670,600,526,1912,90
1693556779260,590,2393,1553,50
1693556779850,590,1560,13285,76
1693556780440,590,6056,17407,352
1693556781320,580,1742,6571,198
1693556781900,580,2854,2966,106
1693556782480,580,619,5799,150
1693556782820,340,1116,1690,290
1693556783400,580,1272,4024,288
1693556783950,550,4950,2728,288
1693556784450,500,1179,3366,26
1693556785000,550,1333,3783,128
1693556785520,520,1132,4384,4
1693556786030,510,1353,2186,0
1693556787200,1170,11564,5915,2
1693556788160,960,6071,277,4
1693556789650,1490,1631,2799,0
1693556790270,620,583,2888,10
1693556790870,600,797,2574,4
1693556791330,460,1694,567,60
1693556791820,490,2385,1298,336
1693556792400,580,2436,6396,734
1693556792830,330,189,1908,736
1693556793440,610,4765,352,1344
1693556795090,670,3197,3529,1882
1693556795700,610,3793,3012,1534
1693556796270,570,185,4194,1932
1693556796920,650,7016,1920,1834
1693556797240,320,488,1517,466
1693556797850,610,755,1153,1240
1693556798240,390,439,1083,1250
1693556798660,420,2217,119,940
